Comment,Designator,Footprint,LCSC,Quantity
22uF,"C_RST1,C_filter1",C_1206_3216Metric,C12891,2
10nF,C1,C_0805_2012Metric,C1710,1
10k,R_A1,R_0805_2012Metric,C17414,1
150k,R_RST1,R_0805_2012Metric,C17470,1
1k,R_IN1,R_0805_2012Metric,C17513,1
1K5,R_B1,R_0805_2012Metric,C4310,1
MCP6021T-E/OT,U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C50538,1
220nF,"C_T1,C_T2",C_0805_2012Metric,C5378,2
NE556DR,U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C7427,1
